city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,hii
Linkoping,1,58.413658,15.616335000000001,20,0,0,58.411801,15.621772,Sweden,Europe,0.378,11.6111,0.0326,93
Linkoping,2,58.411235999999995,15.618844000000001,20,0,0,58.411801,15.621772,Sweden,Europe,0.1817,11.6111,0.0156,93
Linkoping,3,58.40750500000001,15.620525,20,3,0.15,58.411801,15.621772,Sweden,Europe,0.4832,11.6111,0.0416,93
Linkoping,4,58.404552,15.621644,18,1,0.056,58.411801,15.621772,Sweden,Europe,0.8061,11.6111,0.0694,93
Linkoping,5,58.403743000000006,15.626642000000002,20,0,0,58.411801,15.621772,Sweden,Europe,0.9398,11.6111,0.0809,93
Linkoping,6,58.401748,15.629083999999999,16,0,0,58.411801,15.621772,Sweden,Europe,1.1962,11.6111,0.103,93
Linkoping,7,58.403349,15.631108,20,1,0.05,58.411801,15.621772,Sweden,Europe,1.0858,11.6111,0.0935,93
Linkoping,8,58.402564,15.633060999999998,20,2,0.1,58.411801,15.621772,Sweden,Europe,1.2196,11.6111,0.105,93
Linkoping,9,58.397789,15.636026999999999,20,0,0,58.411801,15.621772,Sweden,Europe,1.7656,11.6111,0.1521,93
Linkoping,10,58.396570999999994,15.639673000000002,18,0,0,58.411801,15.621772,Sweden,Europe,1.9888,11.6111,0.1713,93
Linkoping,11,58.39475,15.639335,18,0,0,58.411801,15.621772,Sweden,Europe,2.1545,11.6111,0.1856,93
Linkoping,12,58.392506000000004,15.642116,20,0,0,58.411801,15.621772,Sweden,Europe,2.4511,11.6111,0.2111,93
Linkoping,13,58.389920999999994,15.6431,20,1,0.05,58.411801,15.621772,Sweden,Europe,2.7319,11.6111,0.2353,93
Linkoping,14,58.387453,15.645378,18,0,0,58.411801,15.621772,Sweden,Europe,3.0367,11.6111,0.2615,93
Linkoping,15,58.385537,15.64853,18,0,0,58.411801,15.621772,Sweden,Europe,3.3105,11.6111,0.2851,93
Linkoping,16,58.382462,15.651321,20,0,0,58.411801,15.621772,Sweden,Europe,3.6888,11.6111,0.3177,93
