city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,hii
Loja,1,-4.0654,-79.1974,20,13,0.65,-3.997781,-79.202452,Ecuador,South America,7.5397,7.5397,1,46
Loja,2,-4.0637,-79.1975,20,8,0.4,-3.997781,-79.202452,Ecuador,South America,7.3504,7.5397,0.9749,46
Loja,3,-4.062,-79.1971,20,5,0.25,-3.997781,-79.202452,Ecuador,South America,7.1655,7.5397,0.9504,46
Loja,4,-4.0606,-79.197,20,7,0.35,-3.997781,-79.202452,Ecuador,South America,7.0113,7.5397,0.9299,54
Loja,5,-4.0594,-79.1967,20,0,0,-3.997781,-79.202452,Ecuador,South America,6.8814,7.5397,0.9127,54
Loja,6,-4.0569,-79.1974,20,5,0.25,-3.997781,-79.202452,Ecuador,South America,6.5976,7.5397,0.875,54
Loja,7,-4.0555,-79.19800000000001,20,7,0.35,-3.997781,-79.202452,Ecuador,South America,6.437,7.5397,0.8537,54
Loja,8,-4.0538,-79.1989,20,6,0.3,-3.997781,-79.202452,Ecuador,South America,6.2415,7.5397,0.8278,54
Loja,9,-4.052,-79.1983,20,0,0,-3.997781,-79.202452,Ecuador,South America,6.0464,7.5397,0.8019,54
Loja,10,-4.0499,-79.1978,20,6,0.3,-3.997781,-79.202452,Ecuador,South America,5.8183,7.5397,0.7717,54
Loja,11,-4.0481,-79.1979,20,3,0.15,-3.997781,-79.202452,Ecuador,South America,5.618,7.5397,0.7451,54
Loja,12,-4.0463,-79.1978,20,3,0.15,-3.997781,-79.202452,Ecuador,South America,5.4197,7.5397,0.7188,54
Loja,13,-4.0442,-79.1983,20,2,0.1,-3.997781,-79.202452,Ecuador,South America,5.1821,7.5397,0.6873,54
Loja,14,-4.0424,-79.1998,20,4,0.2,-3.997781,-79.202452,Ecuador,South America,4.9701,7.5397,0.6592,59
Loja,15,-4.0407,-79.1996,20,4,0.2,-3.997781,-79.202452,Ecuador,South America,4.7828,7.5397,0.6343,59
Loja,16,-4.0391,-79.2011,20,1,0.05,-3.997781,-79.202452,Ecuador,South America,4.5969,7.5397,0.6097,59
Loja,17,-4.037,-79.2007,20,0,0,-3.997781,-79.202452,Ecuador,South America,4.3653,7.5397,0.579,59
Loja,18,-4.0354,-79.2003,20,2,0.1,-3.997781,-79.202452,Ecuador,South America,4.1898,7.5397,0.5557,59
Loja,19,-4.0336,-79.1987,20,2,0.1,-3.997781,-79.202452,Ecuador,South America,4.0046,7.5397,0.5311,59
Loja,20,-4.0319,-79.1989,20,3,0.15,-3.997781,-79.202452,Ecuador,South America,3.8143,7.5397,0.5059,59
Loja,21,-4.0295,-79.1988,20,3,0.15,-3.997781,-79.202452,Ecuador,South America,3.5502,7.5397,0.4709,59
Loja,22,-4.0263,-79.199,20,11,0.55,-3.997781,-79.202452,Ecuador,South America,3.1942,7.5397,0.4237,65
Loja,23,-4.0246,-79.1992,20,1,0.05,-3.997781,-79.202452,Ecuador,South America,3.0039,7.5397,0.3984,65
Loja,24,-4.0227,-79.1998,20,2,0.1,-3.997781,-79.202452,Ecuador,South America,2.7864,7.5397,0.3696,65
Loja,25,-4.0207,-79.1999,20,1,0.05,-3.997781,-79.202452,Ecuador,South America,2.5641,7.5397,0.3401,65
Loja,26,-4.0188,-79.2001,20,5,0.25,-3.997781,-79.202452,Ecuador,South America,2.3517,7.5397,0.3119,65
Loja,27,-4.0169,-79.2002,20,0,0,-3.997781,-79.202452,Ecuador,South America,2.1406,7.5397,0.2839,65
Loja,28,-4.0152,-79.2004,20,1,0.05,-3.997781,-79.202452,Ecuador,South America,1.9502,7.5397,0.2587,65
Loja,29,-4.0137,-79.2,20,2,0.1,-3.997781,-79.202452,Ecuador,South America,1.7909,7.5397,0.2375,59
Loja,30,-4.0114,-79.2003,20,0,0,-3.997781,-79.202452,Ecuador,South America,1.5331,7.5397,0.2033,65
Loja,31,-4.0091,-79.2002,20,6,0.3,-3.997781,-79.202452,Ecuador,South America,1.2832,7.5397,0.1702,65
Loja,32,-4.0074,-79.1999,20,1,0.05,-3.997781,-79.202452,Ecuador,South America,1.1064,7.5397,0.1467,65
Loja,33,-4.0055,-79.2004,20,4,0.2,-3.997781,-79.202452,Ecuador,South America,0.888,7.5397,0.1178,65
Loja,34,-4.0044,-79.2006,20,1,0.05,-3.997781,-79.202452,Ecuador,South America,0.7641,7.5397,0.1013,65
Loja,35,-4.0016,-79.20100000000001,20,3,0.15,-3.997781,-79.202452,Ecuador,South America,0.4542,7.5397,0.0602,65
Loja,36,-3.9995,-79.2009,20,8,0.4,-3.997781,-79.202452,Ecuador,South America,0.2572,7.5397,0.0341,65
Loja,37,-3.9984,-79.2018,20,3,0.15,-3.997781,-79.202452,Ecuador,South America,0.0998,7.5397,0.0132,65
Loja,38,-3.9967,-79.2017,20,1,0.05,-3.997781,-79.202452,Ecuador,South America,0.1463,7.5397,0.0194,65
Loja,39,-3.995,-79.2021,20,4,0.2,-3.997781,-79.202452,Ecuador,South America,0.3117,7.5397,0.0413,65
Loja,40,-3.9948,-79.2046,20,2,0.1,-3.997781,-79.202452,Ecuador,South America,0.4082,7.5397,0.0541,65
