city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,hii
Norrtalje,1,59.751025,18.69025,19,3,0.158,59.759724,18.701071,Sweden,Europe,1.1415,6.5874,0.1733,75
Norrtalje,2,59.7535583,18.693080600000002,16,3,0.188,59.759724,18.701071,Sweden,Europe,0.8187,6.5874,0.1243,75
Norrtalje,3,59.7551611,18.694808300000002,15,1,0.067,59.759724,18.701071,Sweden,Europe,0.6168,6.5874,0.0936,75
Norrtalje,4,59.755911100000006,18.697197199999998,17,3,0.176,59.759724,18.701071,Sweden,Europe,0.4763,6.5874,0.0723,75
Norrtalje,5,59.7580417,18.6984083,19,2,0.105,59.759724,18.701071,Sweden,Europe,0.2392,6.5874,0.0363,93
Norrtalje,6,59.7588917,18.7005056,15,1,0.067,59.759724,18.701071,Sweden,Europe,0.0978,6.5874,0.0148,87
Norrtalje,7,59.7591417,18.705244399999998,16,3,0.188,59.759724,18.701071,Sweden,Europe,0.2425,6.5874,0.0368,87
Norrtalje,8,59.760730599999995,18.7089361,20,5,0.25,59.759724,18.701071,Sweden,Europe,0.4544,6.5874,0.069,87
Norrtalje,9,59.761863899999994,18.712627800000003,15,3,0.2,59.759724,18.701071,Sweden,Europe,0.6895,6.5874,0.1047,87
Norrtalje,10,59.7645639,18.714586100000002,16,1,0.062,59.759724,18.701071,Sweden,Europe,0.9286,6.5874,0.141,71
Norrtalje,11,59.7676556,18.7170167,18,2,0.111,59.759724,18.701071,Sweden,Europe,1.255,6.5874,0.1905,71
Norrtalje,12,59.76925,18.7236,19,2,0.105,59.759724,18.701071,Sweden,Europe,1.6472,6.5874,0.2501,71
Norrtalje,13,59.7704667,18.7291167,19,0,0,59.759724,18.701071,Sweden,Europe,1.973,6.5874,0.2995,71
Norrtalje,14,59.7711167,18.733983300000002,20,3,0.15,59.759724,18.701071,Sweden,Europe,2.2362,6.5874,0.3395,59
Norrtalje,15,59.771466700000005,18.738583300000002,15,3,0.2,59.759724,18.701071,Sweden,Europe,2.4731,6.5874,0.3754,59
Norrtalje,16,59.7719333,18.74275,15,2,0.133,59.759724,18.701071,Sweden,Europe,2.6998,6.5874,0.4098,59
Norrtalje,17,59.7726667,18.7460333,15,2,0.133,59.759724,18.701071,Sweden,Europe,2.8998,6.5874,0.4402,59
Norrtalje,18,59.7739167,18.7494333,16,4,0.25,59.759724,18.701071,Sweden,Europe,3.1341,6.5874,0.4758,59
Norrtalje,19,59.7753333,18.7532833,20,2,0.1,59.759724,18.701071,Sweden,Europe,3.3997,6.5874,0.5161,59
Norrtalje,20,59.7763833,18.7571667,17,10,0.588,59.759724,18.701071,Sweden,Europe,3.6462,6.5874,0.5535,59
Norrtalje,21,59.7773667,18.760983300000003,18,3,0.167,59.759724,18.701071,Sweden,Europe,3.8858,6.5874,0.5899,59
Norrtalje,22,59.7783333,18.764833300000003,20,2,0.1,59.759724,18.701071,Sweden,Europe,4.1261,6.5874,0.6264,59
Norrtalje,23,59.7796,18.76875,17,0,0,59.759724,18.701071,Sweden,Europe,4.3864,6.5874,0.6659,59
Norrtalje,24,59.7811667,18.77135,20,1,0.05,59.759724,18.701071,Sweden,Europe,4.6005,6.5874,0.6984,59
Norrtalje,25,59.7829167,18.7737333,14,1,0.071,59.759724,18.701071,Sweden,Europe,4.8164,6.5874,0.7312,59
Norrtalje,26,59.7842,18.776166699999997,17,0,0,59.759724,18.701071,Sweden,Europe,5.008,6.5874,0.7602,67
Norrtalje,27,59.783983299999996,18.7797667,18,0,0,59.759724,18.701071,Sweden,Europe,5.1657,6.5874,0.7842,67
Norrtalje,28,59.7834333,18.78295,20,1,0.05,59.759724,18.701071,Sweden,Europe,5.2878,6.5874,0.8027,67
Norrtalje,29,59.7831667,18.7867833,17,0,0,59.759724,18.701071,Sweden,Europe,5.4606,6.5874,0.8289,67
Norrtalje,30,59.7829833,18.790383300000002,18,1,0.056,59.759724,18.701071,Sweden,Europe,5.6291,6.5874,0.8545,67
Norrtalje,31,59.782366700000004,18.793616699999998,17,0,0,59.759724,18.701071,Sweden,Europe,5.7603,6.5874,0.8744,39
Norrtalje,32,59.7816,18.796716699999998,18,0,0,59.759724,18.701071,Sweden,Europe,5.8811,6.5874,0.8928,39
Norrtalje,33,59.7807333,18.8002167,16,8,0.5,59.759724,18.701071,Sweden,Europe,6.0221,6.5874,0.9142,39
Norrtalje,34,59.780016700000004,18.803366699999998,15,8,0.533,59.759724,18.701071,Sweden,Europe,6.1554,6.5874,0.9344,39
Norrtalje,35,59.77945,18.8069333,16,1,0.062,59.759724,18.701071,Sweden,Europe,6.3195,6.5874,0.9593,39
Norrtalje,36,59.7794333,18.812033300000003,17,1,0.059,59.759724,18.701071,Sweden,Europe,6.5874,6.5874,1,34
