city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,hii
Thessaloniki,1,40.63368,22.955899,20,12,0.6,40.640064,22.94442,Greece,Europe,1.2009,15.5812,0.0771,50
Thessaloniki,2,40.633061,22.958307,20,8,0.4,40.640064,22.94442,Greece,Europe,1.4069,15.5812,0.0903,65
Thessaloniki,3,40.6316596,22.957002499999998,20,10,0.5,40.640064,22.94442,Greece,Europe,1.4144,15.5812,0.0908,50
Thessaloniki,4,40.629869,22.959318,20,8,0.4,40.640064,22.94442,Greece,Europe,1.6928,15.5812,0.1086,50
Thessaloniki,5,40.629413,22.962375,20,4,0.2,40.640064,22.94442,Greece,Europe,1.9231,15.5812,0.1234,50
Thessaloniki,6,40.627899,22.965702,20,11,0.55,40.640064,22.94442,Greece,Europe,2.2483,15.5812,0.1443,50
Thessaloniki,7,40.620064,22.967666,20,0,0,40.640064,22.94442,Greece,Europe,2.9655,15.5812,0.1903,81
Thessaloniki,8,40.618701,22.968873000000002,20,16,0.8,40.640064,22.94442,Greece,Europe,3.1466,15.5812,0.2019,81
Thessaloniki,9,40.6163,22.971644,20,11,0.55,40.640064,22.94442,Greece,Europe,3.5016,15.5812,0.2247,81
Thessaloniki,10,40.615342999999996,22.972918,20,5,0.25,40.640064,22.94442,Greece,Europe,3.6524,15.5812,0.2344,81
Thessaloniki,11,40.613457000000004,22.963410999999997,20,3,0.15,40.640064,22.94442,Greece,Europe,3.3648,15.5812,0.216,81
Thessaloniki,12,40.604678,22.973907999999998,20,11,0.55,40.640064,22.94442,Greece,Europe,4.6558,15.5812,0.2988,81
Thessaloniki,13,40.605074,22.970372,20,13,0.65,40.640064,22.94442,Greece,Europe,4.4649,15.5812,0.2866,81
Thessaloniki,15,40.599829,22.968501,20,4,0.2,40.640064,22.94442,Greece,Europe,4.914,15.5812,0.3154,81
Thessaloniki,16,40.59802,22.970417,20,9,0.45,40.640064,22.94442,Greece,Europe,5.1644,15.5812,0.3315,81
