city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,hii
Toronto,1,44.0302644,-79.5273892,19,4,0.211,43.653225,-79.383186,Canada,North America,43.4907,47.5842,0.914,34
Toronto,2,44.019684399999996,-79.52537590000001,20,5,0.25,43.653225,-79.383186,Canada,North America,42.3143,47.5842,0.8893,26
Toronto,3,44.010569399999994,-79.523162,20,4,0.2,43.653225,-79.383186,Canada,North America,41.2907,47.5842,0.8677,65
Toronto,4,43.9990692,-79.51997220000001,20,8,0.4,43.653225,-79.383186,Canada,North America,39.991,47.5842,0.8404,59
Toronto,5,43.9933826,-79.5192563,20,13,0.65,43.653225,-79.383186,Canada,North America,39.3675,47.5842,0.8273,59
Toronto,6,43.9856808,-79.51690129999999,20,7,0.35,43.653225,-79.383186,Canada,North America,38.4926,47.5842,0.8089,59
Toronto,7,43.977680299999996,-79.515582,19,11,0.579,43.653225,-79.383186,Canada,North America,37.6092,47.5842,0.7904,59
Toronto,8,43.9695695,-79.5128282,20,9,0.45,43.653225,-79.383186,Canada,North America,36.6818,47.5842,0.7709,59
Toronto,9,43.9573634,-79.5106367,20,5,0.25,43.653225,-79.383186,Canada,North America,35.3314,47.5842,0.7425,59
Toronto,10,43.9519455,-79.5094726,20,11,0.55,43.653225,-79.383186,Canada,North America,34.7279,47.5842,0.7298,71
Toronto,11,43.942756599999996,-79.50682590000001,20,8,0.4,43.653225,-79.383186,Canada,North America,33.689,47.5842,0.708,71
Toronto,12,43.9338555,-79.5047083,20,5,0.25,43.653225,-79.383186,Canada,North America,32.693600000000004,47.5842,0.6871,71
Toronto,13,43.9244124,-79.5030552,20,19,0.95,43.653225,-79.383186,Canada,North America,31.6526,47.5842,0.6652,71
Toronto,14,43.915884600000005,-79.5004679,20,9,0.45,43.653225,-79.383186,Canada,North America,30.6864,47.5842,0.6449,71
Toronto,15,43.906832200000004,-79.498745,20,8,0.4,43.653225,-79.383186,Canada,North America,29.6867,47.5842,0.6239,59
Toronto,16,43.897555700000005,-79.4965579,20,6,0.3,43.653225,-79.383186,Canada,North America,28.6526,47.5842,0.6021,59
Toronto,17,43.888435,-79.4943547,20,16,0.8,43.653225,-79.383186,Canada,North America,27.6355,47.5842,0.5808,78
Toronto,18,43.881100200000006,-79.492408,20,16,0.8,43.653225,-79.383186,Canada,North America,26.8135,47.5842,0.5635,78
Toronto,19,43.8706546,-79.4896092,20,9,0.45,43.653225,-79.383186,Canada,North America,25.6432,47.5842,0.5389,78
Toronto,20,43.861504700000005,-79.48793640000001,20,8,0.4,43.653225,-79.383186,Canada,North America,24.6403,47.5842,0.5178,78
Toronto,21,43.8503845,-79.4852071,20,4,0.2,43.653225,-79.383186,Canada,North America,23.4045,47.5842,0.4919,78
Toronto,22,43.8359827,-79.4818319,20,3,0.15,43.653225,-79.383186,Canada,North America,21.8121,47.5842,0.4584,78
Toronto,23,43.8241813,-79.4790051,20,6,0.3,43.653225,-79.383186,Canada,North America,20.509,47.5842,0.431,78
Toronto,24,43.8135903,-79.4764306,20,11,0.55,43.653225,-79.383186,Canada,North America,19.3417,47.5842,0.4065,87
Toronto,25,43.8045586,-79.4747193,20,7,0.35,43.653225,-79.383186,Canada,North America,18.3646,47.5842,0.3859,87
Toronto,26,43.792533,-79.4718266,20,3,0.15,43.653225,-79.383186,Canada,North America,17.0496,47.5842,0.3583,87
Toronto,27,43.7813717,-79.4713046,20,8,0.4,43.653225,-79.383186,Canada,North America,15.9121,47.5842,0.3344,81
Toronto,28,43.7723621,-79.46798620000001,20,4,0.2,43.653225,-79.383186,Canada,North America,14.8979,47.5842,0.3131,81
Toronto,29,43.7626487,-79.4658666,20,9,0.45,43.653225,-79.383186,Canada,North America,13.864,47.5842,0.2914,87
Toronto,30,43.75188370000001,-79.46404390000001,20,3,0.15,43.653225,-79.383186,Canada,North America,12.7514,47.5842,0.268,87
Toronto,31,43.745268200000005,-79.4361583,20,4,0.2,43.653225,-79.383186,Canada,North America,11.0853,47.5842,0.233,81
Toronto,32,43.7369396,-79.43353509999999,19,1,0.053,43.653225,-79.383186,Canada,North America,10.1507,47.5842,0.2133,81
Toronto,33,43.724858399999995,-79.4308215,19,7,0.368,43.653225,-79.383186,Canada,North America,8.8383,47.5842,0.1857,81
Toronto,34,43.7147905,-79.42897940000002,20,3,0.15,43.653225,-79.383186,Canada,North America,7.7733,47.5842,0.1634,75
Toronto,35,43.7041409,-79.4266594,20,11,0.55,43.653225,-79.383186,Canada,North America,6.654,47.5842,0.1398,75
Toronto,36,43.694163399999994,-79.4229675,20,8,0.4,43.653225,-79.383186,Canada,North America,5.564,47.5842,0.1169,75
Toronto,37,43.683152299999996,-79.4197532,20,4,0.2,43.653225,-79.383186,Canada,North America,4.4413,47.5842,0.0933,75
Toronto,38,43.671985299999996,-79.4142066,20,1,0.05,43.653225,-79.383186,Canada,North America,3.2524,47.5842,0.0684,87
Toronto,39,43.6634679,-79.4120088,20,6,0.3,43.653225,-79.383186,Canada,North America,2.5833,47.5842,0.0543,87
Toronto,40,43.6571995,-79.40756,20,3,0.15,43.653225,-79.383186,Canada,North America,2.0101,47.5842,0.0422,87
Toronto,41,43.6499428,-79.40477299999999,20,1,0.05,43.653225,-79.383186,Canada,North America,1.7747,47.5842,0.0373,87
Toronto,42,43.6429975,-79.4033722,20,3,0.15,43.653225,-79.383186,Canada,North America,1.9827,47.5842,0.0417,93
Toronto,43,43.6347131,-79.39920479999999,20,3,0.15,43.653225,-79.383186,Canada,North America,2.4287,47.5842,0.051,93
Toronto,51,43.66677070000001,-79.58811170000001,20,3,0.15,43.653225,-79.383186,Canada,North America,16.5537,47.5842,0.3479,81
Toronto,52,43.6535924,-79.59483320000001,20,8,0.4,43.653225,-79.383186,Canada,North America,17.0276,47.5842,0.3578,81
Toronto,53,43.6525442,-79.6122247,20,3,0.15,43.653225,-79.383186,Canada,North America,18.4271,47.5842,0.3873,81
Toronto,54,43.649176399999995,-79.6210086,19,7,0.368,43.653225,-79.383186,Canada,North America,19.1395,47.5842,0.4022,75
Toronto,55,43.64228060000001,-79.6307686,20,4,0.2,43.653225,-79.383186,Canada,North America,19.9577,47.5842,0.4194,81
Toronto,56,43.63520220000001,-79.63887690000001,20,4,0.2,43.653225,-79.383186,Canada,North America,20.6715,47.5842,0.4344,81
Toronto,57,43.6275915,-79.65017900000001,19,2,0.105,43.653225,-79.383186,Canada,North America,21.6732,47.5842,0.4555,81
Toronto,58,43.6226932,-79.660402,20,4,0.2,43.653225,-79.383186,Canada,North America,22.5654,47.5842,0.4742,81
Toronto,59,43.6186932,-79.6703991,20,4,0.2,43.653225,-79.383186,Canada,North America,23.4305,47.5842,0.4924,81
Toronto,60,43.614439000000004,-79.682222,18,8,0.444,43.653225,-79.383186,Canada,North America,24.4495,47.5842,0.5138,81
Toronto,61,43.609738899999996,-79.68885429999999,20,6,0.3,43.653225,-79.383186,Canada,North America,25.0715,47.5842,0.5269,65
Toronto,62,43.5925201,-79.6881015,20,9,0.45,43.653225,-79.383186,Canada,North America,25.455,47.5842,0.5349,75
Toronto,63,43.5880749,-79.698101,20,5,0.25,43.653225,-79.383186,Canada,North America,26.3644,47.5842,0.5541,75
Toronto,64,43.582495200000004,-79.7059503,20,8,0.4,43.653225,-79.383186,Canada,North America,27.1468,47.5842,0.5705,75
Toronto,65,43.565427500000006,-79.69993659999999,20,11,0.55,43.653225,-79.383186,Canada,North America,27.3069,47.5842,0.5739,87
Toronto,66,43.5559652,-79.7102956,17,5,0.294,43.653225,-79.383186,Canada,North America,28.4721,47.5842,0.5984,81
Toronto,67,43.546948799999996,-79.7203751,20,7,0.35,43.653225,-79.383186,Canada,North America,29.612,47.5842,0.6223,81
Toronto,68,43.540538,-79.7268469,20,7,0.35,43.653225,-79.383186,Canada,North America,30.3789,47.5842,0.6384,81
Toronto,69,43.52370689999999,-79.7458042,20,7,0.35,43.653225,-79.383186,Canada,North America,32.563,47.5842,0.6843,65
Toronto,70,43.518133,-79.7520287,19,8,0.421,43.653225,-79.383186,Canada,North America,33.2896,47.5842,0.6996,65
Toronto,71,43.5012264,-79.7584747,20,7,0.35,43.653225,-79.383186,Canada,North America,34.635,47.5842,0.7279,60
Toronto,72,43.488363299999996,-79.7521186,20,12,0.6,43.653225,-79.383186,Canada,North America,34.921,47.5842,0.7339,71
Toronto,73,43.47841210000001,-79.7631417,20,7,0.35,43.653225,-79.383186,Canada,North America,36.2629,47.5842,0.7621,60
Toronto,74,43.471037200000005,-79.771222,17,7,0.412,43.653225,-79.383186,Canada,North America,37.2553,47.5842,0.7829,60
Toronto,75,43.4575256,-79.7546026,20,11,0.55,43.653225,-79.383186,Canada,North America,37.0047,47.5842,0.7777,78
Toronto,76,43.4421687,-79.7735069,20,8,0.4,43.653225,-79.383186,Canada,North America,39.2472,47.5842,0.8248,71
Toronto,77,43.446351,-79.797896,18,8,0.444,43.653225,-79.383186,Canada,North America,40.5732,47.5842,0.8527,57
Toronto,78,43.4369753,-79.80823570000001,19,8,0.421,43.653225,-79.383186,Canada,North America,41.8546,47.5842,0.8796,84
Toronto,79,43.4366617,-79.8250403,20,10,0.5,43.653225,-79.383186,Canada,North America,42.9898,47.5842,0.9034,45
Toronto,80,43.4281789,-79.83364940000001,20,12,0.6,43.653225,-79.383186,Canada,North America,44.0968,47.5842,0.9267,45
Toronto,81,43.4110003,-79.8363416,20,6,0.3,43.653225,-79.383186,Canada,North America,45.3868,47.5842,0.9538,65
Toronto,82,43.4046417,-79.84302209999998,20,11,0.55,43.653225,-79.383186,Canada,North America,46.2421,47.5842,0.9718,65
Toronto,83,43.398302799999996,-79.8507354,20,8,0.4,43.653225,-79.383186,Canada,North America,47.1639,47.5842,0.9912,60
Toronto,84,43.6734147,-79.568985,17,2,0.118,43.653225,-79.383186,Canada,North America,15.1132,47.5842,0.3176,93
Toronto,85,43.6846906,-79.5637707,20,2,0.1,43.653225,-79.383186,Canada,North America,14.9402,47.5842,0.314,93
Toronto,86,43.688708,-79.54969799999999,20,2,0.1,43.653225,-79.383186,Canada,North America,13.9615,47.5842,0.2934,93
Toronto,87,43.6923633,-79.5379556,20,5,0.25,43.653225,-79.383186,Canada,North America,13.1865,47.5842,0.2771,93
Toronto,88,43.697562700000006,-79.524547,20,4,0.2,43.653225,-79.383186,Canada,North America,12.3917,47.5842,0.2604,87
Toronto,89,43.7010478,-79.51156759999999,20,4,0.2,43.653225,-79.383186,Canada,North America,11.6135,47.5842,0.2441,93
Toronto,90,43.70215,-79.4997972,20,8,0.4,43.653225,-79.383186,Canada,North America,10.8416,47.5842,0.2278,87
Toronto,91,43.705144,-79.48893699999999,20,4,0.2,43.653225,-79.383186,Canada,North America,10.2787,47.5842,0.216,87
Toronto,92,43.7094288,-79.4723411,20,4,0.2,43.653225,-79.383186,Canada,North America,9.5109,47.5842,0.1999,87
Toronto,93,43.713004299999994,-79.4629919,20,7,0.35,43.653225,-79.383186,Canada,North America,9.2395,47.5842,0.1942,87
Toronto,94,43.7154258,-79.4497985,19,7,0.368,43.653225,-79.383186,Canada,North America,8.748,47.5842,0.1838,75
Toronto,95,43.9529821,-78.9600189,19,8,0.421,43.653225,-79.383186,Canada,North America,47.5842,47.5842,1,71
Toronto,96,43.9541594,-78.97423690000001,20,6,0.3,43.653225,-79.383186,Canada,North America,46.8698,47.5842,0.985,71
Toronto,97,43.957231,-78.997517,20,8,0.4,43.653225,-79.383186,Canada,North America,45.832,47.5842,0.9632,34
Toronto,98,43.960035600000005,-79.007672,20,16,0.8,43.653225,-79.383186,Canada,North America,45.5185,47.5842,0.9566,34
Toronto,99,43.9394414,-79.0174295,19,17,0.895,43.653225,-79.383186,Canada,North America,43.2972,47.5842,0.9099,51
Toronto,100,43.9322175,-79.0338462,20,6,0.3,43.653225,-79.383186,Canada,North America,41.8167,47.5842,0.8788,46
Toronto,101,43.9309242,-79.0556818,20,2,0.1,43.653225,-79.383186,Canada,North America,40.5528,47.5842,0.8522,67
Toronto,102,43.9285468,-79.0664084,20,6,0.3,43.653225,-79.383186,Canada,North America,39.7967,47.5842,0.8363,67
Toronto,103,43.9246411,-79.07007850000001,20,6,0.3,43.653225,-79.383186,Canada,North America,39.275,47.5842,0.8254,67
Toronto,104,43.8900559,-79.0658662,20,8,0.4,43.653225,-79.383186,Canada,North America,36.6425,47.5842,0.7701,81
Toronto,105,43.9022707,-79.0977703,8,5,0.625,43.653225,-79.383186,Canada,North America,35.944,47.5842,0.7554,60
Toronto,106,43.8943427,-79.13011440000001,20,7,0.35,43.653225,-79.383186,Canada,North America,33.6409,47.5842,0.707,62
Toronto,107,43.891203499999996,-79.1436697,20,1,0.05,43.653225,-79.383186,Canada,North America,32.7122,47.5842,0.6875,62
Toronto,108,43.881353499999996,-79.14593609999999,20,2,0.1,43.653225,-79.383186,Canada,North America,31.7241,47.5842,0.6667,65
Toronto,109,43.864942299999996,-79.17410509999999,18,3,0.167,43.653225,-79.383186,Canada,North America,28.9167,47.5842,0.6077,60
Toronto,110,43.853662400000005,-79.1802938,20,3,0.15,43.653225,-79.383186,Canada,North America,27.6097,47.5842,0.5802,78
Toronto,111,43.8500703,-79.19347690000001,20,5,0.25,43.653225,-79.383186,Canada,North America,26.6698,47.5842,0.5605,84
Toronto,112,43.844745399999994,-79.2166732,20,11,0.55,43.653225,-79.383186,Canada,North America,25.1479,47.5842,0.5285,84
Toronto,113,43.839808000000005,-79.23145290000001,20,3,0.15,43.653225,-79.383186,Canada,North America,24.0624,47.5842,0.5057,84
Toronto,114,43.837843299999996,-79.2492196,20,10,0.5,43.653225,-79.383186,Canada,North America,23.1783,47.5842,0.4871,84
Toronto,115,43.8343031,-79.2624208,18,12,0.667,43.653225,-79.383186,Canada,North America,22.3502,47.5842,0.4697,84
Toronto,116,43.8325183,-79.2734916,20,5,0.25,43.653225,-79.383186,Canada,North America,21.7972,47.5842,0.4581,71
Toronto,117,43.8285388,-79.28746329999998,20,0,0,43.653225,-79.383186,Canada,North America,20.9559,47.5842,0.4404,71
Toronto,118,43.824820200000005,-79.30292320000001,20,2,0.1,43.653225,-79.383186,Canada,North America,20.1406,47.5842,0.4233,81
Toronto,119,43.825455299999994,-79.3185917,20,3,0.15,43.653225,-79.383186,Canada,North America,19.8418,47.5842,0.417,81
Toronto,120,43.74692720000001,-79.3083574,20,1,0.05,43.653225,-79.383186,Canada,North America,12.031,47.5842,0.2528,87
Toronto,121,43.7414388,-79.31842840000002,20,2,0.1,43.653225,-79.383186,Canada,North America,11.1049,47.5842,0.2334,93
