city,population,population_latitude,population_longitude,total_plants,numCyanogenic,freqHCN,latitude_city,longitude_city,Country,continent,distance,max_dist,std_distance,hii
Uruapan,1,19.45524,-102.0004,12,7,0.583,19.42085,-102.061638,Mexico,North America,7.4736,7.4736,1,90
Uruapan,2,19.44967,-102.00645,20,17,0.85,19.42085,-102.061638,Mexico,North America,6.615,7.4736,0.8851,90
Uruapan,3,19.43983,-102.01218,20,9,0.45,19.42085,-102.061638,Mexico,North America,5.5992,7.4736,0.7492,90
Uruapan,4,19.43551,-102.01893000000001,12,12,1,19.42085,-102.061638,Mexico,North America,4.766,7.4736,0.6377,76
Uruapan,5,19.43273,-102.02396999999999,15,14,0.933,19.42085,-102.061638,Mexico,North America,4.1651,7.4736,0.5573,76
Uruapan,6,19.42898,-102.03305,13,12,0.923,19.42085,-102.061638,Mexico,North America,3.1312,7.4736,0.419,76
Uruapan,7,19.426470000000002,-102.0421,19,19,1,19.42085,-102.061638,Mexico,North America,2.1421,7.4736,0.2866,76
Uruapan,8,19.425710000000002,-102.04628000000001,22,20,0.909,19.42085,-102.061638,Mexico,North America,1.6988,7.4736,0.2273,76
Uruapan,9,19.42054,-102.04859,14,12,0.857,19.42085,-102.061638,Mexico,North America,1.3688,7.4736,0.1832,76
Uruapan,10,19.43855,-102.01405,22,21,0.955,19.42085,-102.061638,Mexico,North America,5.3643,7.4736,0.7178,90
Uruapan,11,19.43856,-102.01406999999999,18,0,0,19.42085,-102.061638,Mexico,North America,5.3627,7.4736,0.7176,90
Uruapan,12,19.42371,-102.0478,20,14,0.7,19.42085,-102.061638,Mexico,North America,1.4856,7.4736,0.1988,76
Uruapan,13,19.41731,-102.051,16,10,0.625,19.42085,-102.061638,Mexico,North America,1.183,7.4736,0.1583,76
Uruapan,14,19.41275,-102.05244,18,14,0.778,19.42085,-102.061638,Mexico,North America,1.3197,7.4736,0.1766,90
Uruapan,15,19.40914,-102.05354,10,5,0.5,19.42085,-102.061638,Mexico,North America,1.5546,7.4736,0.208,90
Uruapan,16,19.40498,-102.05457,20,18,0.9,19.42085,-102.061638,Mexico,North America,1.914,7.4736,0.2561,76
Uruapan,17,19.40091,-102.05623,23,19,0.826,19.42085,-102.061638,Mexico,North America,2.2886,7.4736,0.30620000000000003,76
Uruapan,18,19.39762,-102.05677,19,18,0.947,19.42085,-102.061638,Mexico,North America,2.633,7.4736,0.3523,76
Uruapan,19,19.395960000000002,-102.05744,22,22,1,19.42085,-102.061638,Mexico,North America,2.8024,7.4736,0.375,76
Uruapan,20,19.39395,-102.05794,20,16,0.8,19.42085,-102.061638,Mexico,North America,3.0162,7.4736,0.4036,76
