city,population,total_plants,numCyanogenic
Acton,1,24,13
Acton,10,23,7
Acton,11,23,6
Acton,12,23,10
Acton,13,24,14
Acton,14,22,14
Acton,15,23,13
Acton,16,23,11
Acton,17,18,4
Acton,18,20,4
Acton,19,23,8
Acton,2,23,4
Acton,20,24,10
Acton,3,23,9
Acton,4,24,11
Acton,5,23,9
Acton,6,28,5
Acton,7,23,4
Acton,8,23,10
Acton,9,21,6
Angus,1,21,3
Angus,10,20,5
Angus,11,20,3
Angus,12,20,6
Angus,13,14,12
Angus,14,20,3
Angus,15,19,2
Angus,16,20,7
Angus,17,19,8
Angus,18,17,3
Angus,19,19,9
Angus,2,20,4
Angus,20,19,7
Angus,3,20,7
Angus,4,20,11
Angus,5,20,8
Angus,6,20,4
Angus,7,20,14
Angus,8,20,6
Angus,9,19,7
Barrie,1,20,6
Barrie,10,18,9
Barrie,11,20,6
Barrie,12,20,9
Barrie,13,17,4
Barrie,14,20,4
Barrie,15,20,8
Barrie,16,20,6
Barrie,17,18,2
Barrie,18,20,9
Barrie,19,20,7
Barrie,2,19,4
Barrie,20,20,5
Barrie,21,20,4
Barrie,22,18,13
Barrie,23,20,4
Barrie,24,20,6
Barrie,25,20,6
Barrie,3,20,6
Barrie,4,18,4
Barrie,5,20,2
Barrie,6,20,4
Barrie,7,20,7
Barrie,8,20,4
Barrie,9,20,9
Bradford,1,20,7
Bradford,10,20,4
Bradford,11,20,7
Bradford,12,20,6
Bradford,13,20,5
Bradford,14,20,6
Bradford,15,20,3
Bradford,16,20,4
Bradford,17,20,1
Bradford,18,20,11
Bradford,19,19,5
Bradford,2,20,7
Bradford,20,20,5
Bradford,3,20,2
Bradford,4,20,5
Bradford,5,20,6
Bradford,6,20,4
Bradford,7,20,7
Bradford,8,20,8
Bradford,9,20,2
Brantford,1,20,9
Brantford,10,16,4
Brantford,11,21,9
Brantford,12,19,7
Brantford,13,21,3
Brantford,14,20,4
Brantford,15,21,14
Brantford,16,21,5
Brantford,17,17,6
Brantford,18,20,6
Brantford,19,21,7
Brantford,2,20,2
Brantford,20,18,10
Brantford,21,21,8
Brantford,22,20,9
Brantford,23,20,6
Brantford,24,20,4
Brantford,25,20,4
Brantford,26,19,10
Brantford,27,21,7
Brantford,3,20,9
Brantford,4,20,4
Brantford,5,18,7
Brantford,6,20,5
Brantford,7,20,4
Brantford,8,21,1
Brantford,9,20,8
Cobourg,1,20,3
Cobourg,10,20,2
Cobourg,11,20,2
Cobourg,12,20,5
Cobourg,13,20,1
Cobourg,14,20,3
Cobourg,15,20,2
Cobourg,16,20,2
Cobourg,17,19,6
Cobourg,18,20,1
Cobourg,19,20,1
Cobourg,2,20,5
Cobourg,20,20,5
Cobourg,21,20,4
Cobourg,22,20,6
Cobourg,23,20,7
Cobourg,24,20,9
Cobourg,25,18,6
Cobourg,26,20,4
Cobourg,27,20,0
Cobourg,3,20,15
Cobourg,4,20,7
Cobourg,5,20,3
Cobourg,6,20,4
Cobourg,7,20,1
Cobourg,8,20,3
Cobourg,9,20,3
Elmira,1,20,8
Elmira,10,17,9
Elmira,11,18,5
Elmira,12,19,11
Elmira,13,20,5
Elmira,14,20,6
Elmira,15,17,7
Elmira,16,19,7
Elmira,17,20,4
Elmira,18,17,7
Elmira,19,21,8
Elmira,2,21,18
Elmira,20,21,6
Elmira,3,21,9
Elmira,4,19,4
Elmira,5,20,12
Elmira,6,18,4
Elmira,7,20,8
Elmira,8,19,8
Elmira,9,18,4
Everett,1,20,5
Everett,10,20,0
Everett,11,20,5
Everett,12,20,5
Everett,13,20,3
Everett,14,20,4
Everett,15,20,5
Everett,16,20,9
Everett,17,20,7
Everett,18,20,5
Everett,19,19,7
Everett,2,20,6
Everett,20,20,10
Everett,3,20,6
Everett,4,20,2
Everett,5,20,3
Everett,6,20,6
Everett,7,20,5
Everett,8,20,5
Everett,9,20,10
Fergus,1,20,4
Fergus,10,25,7
Fergus,11,24,5
Fergus,12,21,12
Fergus,13,21,6
Fergus,14,19,8
Fergus,15,11,6
Fergus,16,24,13
Fergus,17,18,13
Fergus,18,26,17
Fergus,19,22,11
Fergus,2,20,8
Fergus,20,25,16
Fergus,3,21,9
Fergus,4,20,11
Fergus,5,12,6
Fergus,6,22,6
Fergus,7,20,9
Fergus,8,22,6
Fergus,9,22,11
Georgetown,1,21,6
Georgetown,10,23,6
Georgetown,11,23,4
Georgetown,12,23,3
Georgetown,13,21,6
Georgetown,14,22,5
Georgetown,15,18,12
Georgetown,16,20,4
Georgetown,17,24,13
Georgetown,18,23,17
Georgetown,19,23,11
Georgetown,2,25,13
Georgetown,20,15,3
Georgetown,3,26,10
Georgetown,4,23,6
Georgetown,5,22,3
Georgetown,6,24,9
Georgetown,7,23,9
Georgetown,8,17,6
