City,Population,Plant,Transect,Latitude,Longitude,Distance,Tissue,Plate,Notes,Qubit_conc,260_280,nanodrop_conc,HCN_Result,Locus.Li,Locus.Ac,Habitat
Toronto,39,1,A,43.66346793,-79.41200875,2.64091112,Leaf,2,DNA lost,NA,-4.867,16.324,1,1,NA,Urban
Toronto,39,2,A,43.66346793,-79.41200875,2.64091112,Leaf,2,DNA lost,NA,-5.692,-41.258,1,1,NA,Urban
Toronto,39,3,A,43.66346793,-79.41200875,2.64091112,Leaf,2,DNA lost,NA,2.556,2.549,1,1,NA,Urban
Toronto,39,4,A,43.66346793,-79.41200875,2.64091112,Leaf,2,DNA lost,NA,1.714,5.319,0,1,NA,Urban
Toronto,39,5,A,43.66346793,-79.41200875,2.64091112,Leaf,2,DNA lost,NA,1.767,5.873,0,0,NA,Urban
Toronto,39,6,A,43.66346793,-79.41200875,2.64091112,Leaf,2,DNA lost,NA,1.478,-7.515,1,1,NA,Urban
Toronto,39,7,A,43.66346793,-79.41200875,2.64091112,Leaf,2,DNA lost,NA,3.453,65.462,0,0,NA,Urban
Toronto,39,8,A,43.66346793,-79.41200875,2.64091112,Petiole/Stolon,2,DNA lost,NA,40.389,80.243,0,0,NA,Urban
Toronto,39,9,A,43.66346793,-79.41200875,2.64091112,Leaf,2,NA,4.3,1.698,24.269,0,0,NA,Urban
Toronto,39,10,A,43.66346793,-79.41200875,2.64091112,Petiole/Stolon,2,NA,11.7,-0.304,-5.09,0,0,NA,Urban
Toronto,39,11,A,43.66346793,-79.41200875,2.64091112,Leaf,2,NA,18,1.684,52.011,1,1,NA,Urban
Toronto,39,12,A,43.66346793,-79.41200875,2.64091112,Petiole/Stolon,2,NA,3.8,1.621,33.101,0,0,NA,Urban
Toronto,39,13,A,43.66346793,-79.41200875,2.64091112,Leaf,2,NA,11.9,1.626,36.938,0,0,NA,Urban
Toronto,39,14,A,43.66346793,-79.41200875,2.64091112,Leaf/Stolon,2,NA,17.4,1.755,62.028,0,0,NA,Urban
Toronto,39,15,A,43.66346793,-79.41200875,2.64091112,Petiole/Stolon,2,NA,23.2,1.697,63.969,0,0,NA,Urban
Toronto,39,16,A,43.66346793,-79.41200875,2.64091112,Petiole/Stolon,2,NA,3.78,1.582,113.581,0,1,NA,Urban
Toronto,39,17,A,43.66346793,-79.41200875,2.64091112,Leaf,2,NA,9.88,1.657,90.846,1,1,NA,Urban
Toronto,39,18,A,43.66346793,-79.41200875,2.64091112,Petiole/Stolon,2,NA,20.6,1.768,112.176,0,0,NA,Urban
Toronto,39,19,A,43.66346793,-79.41200875,2.64091112,Leaf,2,NA,4.82,1.63,87.732,0,0,NA,Urban
Toronto,39,20,A,43.66346793,-79.41200875,2.64091112,Petiole/Stolon,2,NA,21.6,1.662,116.107,0,0,NA,Urban
Toronto,40,1,A,43.6571995,-79.40756003,2.240528963,Leaf,2,NA,30.4,1.686,60.245,0,NA,0,Urban
Toronto,40,2,A,43.6571995,-79.40756003,2.240528963,Leaf,2,NA,6.42,1.663,81.065,1,NA,1,Urban
Toronto,40,3,A,43.6571995,-79.40756003,2.240528963,Leaf/Stolon,2,NA,32.8,1.654,100.332,0,NA,0,Urban
Toronto,40,4,A,43.6571995,-79.40756003,2.240528963,Leaf,2,NA,9.32,1.437,166.627,0,NA,0,Urban
Toronto,40,5,A,43.6571995,-79.40756003,2.240528963,Leaf/Petiole,2,NA,12.4,1.586,90.951,0,NA,0,Urban
Toronto,40,6,A,43.6571995,-79.40756003,2.240528963,Leaf,2,NA,59.8,1.818,220.892,0,NA,0,Urban
Toronto,40,7,A,43.6571995,-79.40756003,2.240528963,Leaf/Stolon,2,NA,43.4,1.739,176.304,0,NA,0,Urban
Toronto,40,8,A,43.6571995,-79.40756003,2.240528963,Leaf,2,NA,14.1,1.662,113.006,0,NA,1,Urban
Toronto,40,9,A,43.6571995,-79.40756003,2.240528963,Leaf,2,NA,10.7,1.712,112.47,0,NA,0,Urban
Toronto,40,10,A,43.6571995,-79.40756003,2.240528963,Leaf/Petiole,2,NA,61,1.788,176.974,0,NA,0,Urban
