City,Population,Transect,Plant,Lat.pop,Long.pop,HCN_Result,Locus.Li,Locus.Ac,Distance
Toronto,1,A,1,44.0302644,-79.52738917,0,0,NA,43.24512928
Toronto,1,A,2,44.0302644,-79.52738917,0,0,NA,43.24512928
Toronto,1,A,3,44.0302644,-79.52738917,0,0,NA,43.24512928
Toronto,1,A,4,44.0302644,-79.52738917,0,1,NA,43.24512928
Toronto,1,A,5,44.0302644,-79.52738917,0,1,NA,43.24512928
Toronto,1,A,6,44.0302644,-79.52738917,0,NA,NA,43.24512928
Toronto,1,A,7,44.0302644,-79.52738917,0,0,NA,43.24512928
Toronto,1,A,8,44.0302644,-79.52738917,0,1,NA,43.24512928
Toronto,1,A,9,44.0302644,-79.52738917,0,1,NA,43.24512928
Toronto,1,A,10,44.0302644,-79.52738917,0,NA,NA,43.24512928
Toronto,1,A,11,44.0302644,-79.52738917,0,1,NA,43.24512928
Toronto,1,A,12,44.0302644,-79.52738917,1,1,NA,43.24512928
Toronto,1,A,13,44.0302644,-79.52738917,0,NA,NA,43.24512928
Toronto,1,A,14,44.0302644,-79.52738917,0,1,NA,43.24512928
Toronto,1,A,16,44.0302644,-79.52738917,1,1,NA,43.24512928
Toronto,1,A,17,44.0302644,-79.52738917,0,1,NA,43.24512928
Toronto,1,A,18,44.0302644,-79.52738917,0,1,NA,43.24512928
Toronto,1,A,19,44.0302644,-79.52738917,1,1,NA,43.24512928
Toronto,1,A,20,44.0302644,-79.52738917,1,1,NA,43.24512928
Toronto,10,A,10,43.95194554,-79.50947256,1,NA,1,34.49113074
Toronto,10,A,1,43.95194554,-79.50947256,0,NA,0,34.49113074
Toronto,10,A,2,43.95194554,-79.50947256,0,NA,0,34.49113074
Toronto,10,A,3,43.95194554,-79.50947256,1,NA,1,34.49113074
Toronto,10,A,4,43.95194554,-79.50947256,1,NA,1,34.49113074
Toronto,10,A,5,43.95194554,-79.50947256,1,NA,1,34.49113074
Toronto,10,A,6,43.95194554,-79.50947256,1,NA,1,34.49113074
Toronto,10,A,7,43.95194554,-79.50947256,1,NA,1,34.49113074
Toronto,10,A,8,43.95194554,-79.50947256,0,NA,1,34.49113074
Toronto,10,A,9,43.95194554,-79.50947256,0,NA,1,34.49113074
Toronto,10,A,11,43.95194554,-79.50947256,0,NA,1,34.49113074
Toronto,10,A,12,43.95194554,-79.50947256,1,NA,1,34.49113074
Toronto,10,A,13,43.95194554,-79.50947256,1,NA,1,34.49113074
Toronto,10,A,14,43.95194554,-79.50947256,0,NA,0,34.49113074
Toronto,10,A,15,43.95194554,-79.50947256,0,NA,1,34.49113074
Toronto,10,A,16,43.95194554,-79.50947256,1,NA,1,34.49113074
Toronto,10,A,17,43.95194554,-79.50947256,0,NA,1,34.49113074
Toronto,10,A,18,43.95194554,-79.50947256,1,NA,1,34.49113074
Toronto,10,A,19,43.95194554,-79.50947256,0,NA,1,34.49113074
Toronto,10,A,20,43.95194554,-79.50947256,1,NA,1,34.49113074
Toronto,100,C,1,43.93221747,-79.03384622,0,NA,0,41.42377724
Toronto,100,C,2,43.93221747,-79.03384622,0,NA,1,41.42377724
Toronto,100,C,3,43.93221747,-79.03384622,0,NA,0,41.42377724
Toronto,100,C,4,43.93221747,-79.03384622,0,NA,1,41.42377724
Toronto,100,C,5,43.93221747,-79.03384622,1,NA,1,41.42377724
Toronto,100,C,6,43.93221747,-79.03384622,0,NA,0,41.42377724
Toronto,100,C,7,43.93221747,-79.03384622,0,NA,1,41.42377724
Toronto,100,C,8,43.93221747,-79.03384622,1,NA,1,41.42377724
Toronto,100,C,9,43.93221747,-79.03384622,0,NA,1,41.42377724
Toronto,100,C,10,43.93221747,-79.03384622,0,NA,1,41.42377724
Toronto,100,C,11,43.93221747,-79.03384622,0,NA,1,41.42377724
Toronto,100,C,12,43.93221747,-79.03384622,0,NA,1,41.42377724
Toronto,100,C,13,43.93221747,-79.03384622,0,NA,1,41.42377724
Toronto,100,C,14,43.93221747,-79.03384622,1,NA,1,41.42377724
Toronto,100,C,15,43.93221747,-79.03384622,1,NA,1,41.42377724
Toronto,100,C,16,43.93221747,-79.03384622,1,NA,1,41.42377724
Toronto,100,C,17,43.93221747,-79.03384622,0,NA,0,41.42377724
