group,continent,city,pop,individual,site,plantID,qubit_1,qubit_2,qubit_3,row_firstPlating,column_firstPlating,row_secondPlating,column_secondPlating,max_qubit,initial_vol,TE_vol,leftover,Bioruptor_label,lane,i5,i7,Date prepped,Qubit1_HS (ng/ul),Qubit2_HS (ng/ul),Qubit3_HS_reEst,Qubit_toUse,Notes
deep3,NAM,Albuquerque,1,19,u,Albuquerque_1_19,6.78,NA,6.5,a,1,a,1,6.78,25,0,No,ABQ-21,1,iTru5_01_A,iTru7_101_01,1-Feb-2021,3.24,,,,
deep3,NAM,Albuquerque,1,10,u,Albuquerque_1_10,8.29,NA,12.8,c,1,b,1,12.8,19.53,5.47,Yes,ABQ-22,1,iTru5_01_B,iTru7_101_01,1-Feb-2021,3.46,,,,
deep3,NAM,Albuquerque,1,8,u,Albuquerque_1_8,3.32,NA,13.4,e,1,d,1,13.4,18.66,6.34,Yes,ABQ-23,1,iTru5_01_C,iTru7_101_01,1-Feb-2021,0.184,9.3,,,
deep3,NAM,Albuquerque,1,7,u,Albuquerque_1_7,8.05,NA,20.8,f,1,e,1,20.8,12.02,12.98,Yes,ABQ-24,1,iTru5_01_D,iTru7_101_01,1-Feb-2021,0.55,10.6,,,
deep3,NAM,Albuquerque,1,5,u,Albuquerque_1_5,22.6,NA,NA,g,1,NA,NA,22.6,11.06,13.94,Yes,ABQ-25,1,iTru5_01_E,iTru7_101_01,1-Feb-2021,0.8,10.6,,,
deep3,NAM,Albuquerque,1,4,u,Albuquerque_1_4,15.3,NA,17.4,h,1,f,1,17.4,14.37,10.63,Yes,ABQ-26,1,iTru5_01_F,iTru7_101_01,1-Feb-2021,0.32,11.1,,,
deep3,NAM,Albuquerque,1,3,u,Albuquerque_1_3,6.68,NA,33.6,a,2,g,1,33.6,7.44,17.56,Yes,ABQ-27,1,iTru5_01_G,iTru7_101_01,1-Feb-2021,3.42,,,,
deep3,NAM,Albuquerque,2,14,u,Albuquerque_2_14,8.28,NA,3.64,b,2,h,1,8.28,25,0,No,ABQ-28,1,iTru5_01_H,iTru7_101_01,1-Feb-2021,2,,,,
deep3,NAM,Albuquerque,2,13,u,Albuquerque_2_13,9.97,NA,0,c,2,a,2,9.97,25,0,No,ABQ-29,1,iTru5_01_A,iTru7_101_02,1-Feb-2021,2.4,,,,
deep3,NAM,Albuquerque,2,12,u,Albuquerque_2_12,1.18,NA,0,d,2,b,2,1.18,25,0,No,ABQ-30,1,iTru5_01_B,iTru7_101_02,1-Feb-2021,0.69,7.98,,,
